F, концентрация, uгр/гр;R_F_Concentaration
Ce, концентрация, uгр/гр;R_Ce_Concentaration
Ce, погрешность, %;R_Ce_Error
Ce, предел обнаружения, uгр/гр;R_Ce_Detection_Limit
Pr, концентрация, uгр/гр;R_Pr_Concentaration
Pr, погрешность, %;R_Pr_Error
Pr, предел обнаружения, uгр/гр;R_Pr_Detection_Limit
Nd, концентрация, uгр/гр;R_Nd_Concentaration
Nd, погрешность, %;R_Nd_Error
Nd, предел обнаружения, uгр/гр;R_Nd_Detection_Limit
Sm, концентрация, uгр/гр;R_Sm_Concentaration
Sm, погрешность, %;R_Sm_Error
Sm, предел обнаружения, uгр/гр;R_Sm_Detection_Limit
Eu, концентрация, uгр/гр;R_Eu_Concentaration
Eu, погрешность, %;R_Eu_Error
Eu, предел обнаружения, uгр/гр;R_Eu_Detection_Limit
Gd, концентрация, uгр/гр;R_Gd_Concentaration
Gd, погрешность, %;R_Gd_Error
Gd, предел обнаружения, uгр/гр;R_Gd_Detection_Limit
Tb, концентрация, uгр/гр;R_Tb_Concentaration
Tb, погрешность, %;R_Tb_Error
Tb, предел обнаружения, uгр/гр;R_Tb_Detection_Limit
Dy, концентрация, uгр/гр;R_Dy_Concentaration
Dy, погрешность, %;R_Dy_Error
Dy, предел обнаружения, uгр/гр;R_Dy_Detection_Limit
Ho, концентрация, uгр/гр;R_Ho_Concentaration
Ho, погрешность, %;R_Ho_Error
Ho, предел обнаружения, uгр/гр;R_Ho_Detection_Limit
Er, концентрация, uгр/гр;R_Er_Concentaration
Er, погрешность, %;R_Er_Error
Er, предел обнаружения, uгр/гр;R_Er_Detection_Limit
Tm, концентрация, uгр/гр;R_Tm_Concentaration
Tm, погрешность, %;R_Tm_Error
Tm, предел обнаружения, uгр/гр;R_Tm_Detection_Limit
Yb, концентрация, uгр/гр;R_Yb_Concentaration
Yb, погрешность, %;R_Yb_Error
Yb, предел обнаружения, uгр/гр;R_Yb_Detection_Limit
Lu, концентрация, uгр/гр;R_Lu_Concentaration
Lu, погрешность, %;R_Lu_Error
Lu, предел обнаружения, uгр/гр;R_Lu_Detection_Limit
